id,nombre,contraseña,edad,correo,nombres
185.0,Ana Martinez,user987,800.0,pp@correo.com,
,Laura Torres,person123,75.0,cf@correo.com,
347.0,Carlos Gonzalez,as,50.0,lt@correo.com,
119.0,Pedro Perez,test123,30.0,jr@correo.com,
,Luis Sanchez,test123,80.0,cg@correo.com,
198.0,Carla Fernandez,admin987,35.0,sl@correo.com,
,Carla Fernandez,person987,30.0,cg@correo.com,
106.0,Carlos Gonzalez,admin987,60.0,cf@correo.com,-10
72.0,Luis Sanchez,user123,75.0,sl@correo.com,
207.0,Pedro Perez,test123,,cg@correo.com,
228.0,Maria Gomez,person987,,cg@correo.com,
478.0,Carla Fernandez,,50.0,cg@correo.com,
482.0,Luis Sanchez,user123,55.0, am@correo.com ,
90.0,Sofia Lopez,person123,55.0, sl@correo.com ,
,Laura Torres,admin123,40.0,lt@correo.com,
278.0,Carla Fernandez,user123,80.0, sl@correo.com ,
314.0,Carla Fernandez,person123,75.0,am@correo.com,-10
339.0,Laura Torres,admin123,70.0, mg@correo.com ,
39.0,Sofia Lopez,person987,80.0,pp@correo.com,11
,Juan Rodriguez,admin987,75.0,sl@correo.com,
,Sofia Lopez,admin123,60.0,ls@correo.com,
11.0,Laura Torres,gap123,55.0,mg@correo.com,
375.0,Juan Rodriguez,person987,80.0, cf@correo.com ,
364.0,Juan Rodriguez,user123,40.0,am@correo.com,11
,Laura Torres,user987,35.0,ls@correo.com,
48.0,Carla Fernandez,admin123,70.0,dr@correo.com,-10
255.0,Carla Fernandez,test123,800.0,cf@correo.com,
149.0,Carla Fernandez,test123,-10.0,dr@correo.com,
463.0,Sofia Lopez,test123,40.0, pp@correo.com ,
,Diego Ramirez,gap123,55.0,jr@correo.com,
248.0,Diego Ramirez,gap987,35.0,cg@correo.com,11
287.0,Ana Martinez,gap987,,pp@correo.com,
444.0,Diego Ramirez,gap123,60.0, am@correo.com ,
,Laura Torres,person123,75.0,pp@correo.com,
328.0,Diego Ramirez,test123,,cf@correo.com,
226.0,Juan Rodriguez,user987,30.0, pp@correo.com ,
166.0,Juan Rodriguez,test123,50.0, dr@correo.com ,
230.0,Sofia Lopez,test123,50.0,dr@correo.com,11
416.0,Sofia Lopez,test123,70.0,pp@correo.com,-10
31.0,Carlos Gonzalez,gap123,50.0,cg@correo.com,
,Pedro Perez,person123,50.0,am@correo.com,
10.0,Juan Rodriguez,test123,25.0, am@correo.com ,
,Carla Fernandez,gap123,18.0,dr@correo.com,
99.0,Carla Fernandez,test123,65.0, pp@correo.com ,
321.0,Sofia Lopez,-,60.0,dr@correo.com,
500.0,Laura Torres,test123,800.0,ls@correo.com,
,Juan Rodriguez,admin987,18.0,cg@correo.com,
74.0,Pedro Perez,test987,55.0,sl@correo.com,11
,Pedro Perez,gap987,18.0,sl@correo.com,
6.0,Sofia Lopez,user123,60.0, mg@correo.com ,
,Sofia Lopez,user987,25.0,sl@correo.com,
348.0,Pedro Perez,test123,65.0,lt@correo.com,-10
,Sofia Lopez,test987,70.0,jr@correo.com,
236.0,Ana Martinez,person987,75.0, am@correo.com ,
458.0,Sofia Lopez,admin987,800.0,jr@correo.com,
362.0,Carla Fernandez,admin123,25.0, lt@correo.com ,
229.0,Laura Torres,admin123,75.0,cg@correo.com,
,Diego Ramirez,person987,25.0,jr@correo.com,
,Carlos Gonzalez,test987,50.0,cf@correo.com,
117.0,Juan Rodriguez,admin123,65.0,dr@correo.com,-10
162.0,Maria Gomez,user987,800.0,cg@correo.com,
,Pedro Perez,admin123,45.0,mg@correo.com,
429.0,Ana Martinez,gap123,50.0,cg@correo.com,
,Luis Sanchez,admin123,25.0,dr@correo.com,
449.0,Laura Torres,gap987,45.0, lt@correo.com ,
199.0,Sofia Lopez,admin123,,cg@correo.com,
374.0,Laura Torres,as,50.0,pp@correo.com,
,Carlos Gonzalez,person123,75.0,dr@correo.com,
164.0,Carlos Gonzalez,admin987,,pp@correo.com,
265.0,Pedro Perez,admin987,45.0,lt@correo.com,-10
312.0,Ana Martinez,admin987,25.0,am@correo.com,
44.0,Carlos Gonzalez,user123,75.0,cg@correo.com,11
39.0,Sofia Lopez,,55.0,cf@correo.com,
,Laura Torres,person987,65.0,pp@correo.com,
,Diego Ramirez,gap123,60.0,cg@correo.com,
188.0,Ana Martinez,person987,25.0,sl@correo.com,11
10.0,Luis Sanchez,person987,45.0,am@correo.com,
368.0,Sofia Lopez,admin123,45.0,ls@correo.com,
305.0,Sofia Lopez,gap123,70.0,am@correo.com,
263.0,Maria Gomez,admin123,55.0, pp@correo.com ,
427.0,Juan Rodriguez,user987,70.0, dr@correo.com ,
303.0,Carla Fernandez,test987,800.0,jr@correo.com,
75.0,Laura Torres,user123,800.0,am@correo.com,
419.0,Maria Gomez,user123,45.0,pp@correo.com,
175.0,Diego Ramirez,user123,30.0,cg@correo.com,
,Maria Gomez,admin987,25.0,sl@correo.com,
96.0,Ana Martinez,test987,50.0,cf@correo.com,-10
240.0,Maria Gomez,person123,-10.0,sl@correo.com,
38.0,Maria Gomez,person987,-10.0,cf@correo.com,
,Diego Ramirez,gap987,80.0,pp@correo.com,
383.0,Pedro Perez,person123,18.0,jr@correo.com,
264.0,Sofia Lopez,person987,-10.0,mg@correo.com,
120.0,Luis Sanchez,admin987,25.0, cf@correo.com ,
,Sofia Lopez,admin123,55.0,pp@correo.com,
173.0,Maria Gomez,user123,75.0, sl@correo.com ,
449.0,Juan Rodriguez,admin987,800.0,cf@correo.com,
,Carlos Gonzalez,user987,80.0,ls@correo.com,
,Laura Torres,user123,80.0,pp@correo.com,
484.0,Pedro Perez,test987,35.0, cf@correo.com ,
,Carla Fernandez,admin123,70.0,lt@correo.com,
344.0,Laura Torres,as,65.0,am@correo.com,
2.0,Sofia Lopez,-,80.0,am@correo.com,
368.0,Diego Ramirez,user987,80.0, lt@correo.com ,
363.0,Juan Rodriguez,person987,55.0, pp@correo.com ,
,Carlos Gonzalez,user123,25.0,jr@correo.com,
226.0,Juan Rodriguez,test123,80.0, am@correo.com ,
,Laura Torres,person987,30.0,ls@correo.com,
450.0,Luis Sanchez,user987,50.0,lt@correo.com,11
315.0,Maria Gomez,user123,25.0,pp@correo.com,
458.0,Sofia Lopez,person987,35.0,jr@correo.com,
146.0,Sofia Lopez,test123,60.0, pp@correo.com ,
,Ana Martinez,gap123,18.0,jr@correo.com,
288.0,Ana Martinez,-,35.0,mg@correo.com,
474.0,Diego Ramirez,gap123,35.0, lt@correo.com ,
305.0,Pedro Perez,user123,18.0,am@correo.com,
280.0,Pedro Perez,admin987,40.0,jr@correo.com,11
14.0,Diego Ramirez,gap123,75.0, am@correo.com ,
174.0,Maria Gomez,,55.0,cg@correo.com,
117.0,Luis Sanchez,user123,65.0,pp@correo.com,-10
397.0,Laura Torres,user123,,ls@correo.com,
283.0,Diego Ramirez,user987,,jr@correo.com,
496.0,Pedro Perez,user987,65.0, jr@correo.com ,
315.0,Juan Rodriguez,test123,55.0,dr@correo.com,
,Carlos Gonzalez,test123,25.0,cf@correo.com,
354.0,Ana Martinez,test123,18.0,cf@correo.com,
116.0,Sofia Lopez,user987,60.0,mg@correo.com,
184.0,Ana Martinez,person123,80.0,jr@correo.com,
282.0,Laura Torres,gap987,70.0,ls@correo.com,11
352.0,Juan Rodriguez,admin123,,cg@correo.com,
,Juan Rodriguez,test987,18.0,pp@correo.com,
125.0,Laura Torres,user123,-10.0,lt@correo.com,
67.0,Pedro Perez,person123,60.0, sl@correo.com ,
80.0,Sofia Lopez,test123,75.0, pp@correo.com ,
302.0,Maria Gomez,,75.0,jr@correo.com,
153.0,Maria Gomez,test123,35.0,mg@correo.com,
441.0,Sofia Lopez,admin987,30.0,am@correo.com,11
371.0,Maria Gomez,,60.0,cf@correo.com,
50.0,Maria Gomez,gap123,55.0, jr@correo.com ,
417.0,Laura Torres,gap123,30.0, ls@correo.com ,
,Pedro Perez,admin123,80.0,ls@correo.com,
,Carlos Gonzalez,test987,50.0,mg@correo.com,
41.0,Juan Rodriguez,-,40.0,cg@correo.com,
327.0,Pedro Perez,gap123,,pp@correo.com,
331.0,Juan Rodriguez,-,70.0,pp@correo.com,
415.0,Diego Ramirez,gap123,40.0, sl@correo.com ,
206.0,Pedro Perez,admin987,30.0, cf@correo.com ,
101.0,Juan Rodriguez,test123,80.0, am@correo.com ,
320.0,Maria Gomez,person987,30.0,cg@correo.com,11
178.0,Carla Fernandez,admin123,50.0,dr@correo.com,
,Carla Fernandez,user987,30.0,cf@correo.com,
475.0,Carla Fernandez,gap987,70.0,cf@correo.com,
14.0,Ana Martinez,user123,,ls@correo.com,
59.0,Diego Ramirez,user123,50.0, jr@correo.com ,
322.0,Carla Fernandez,admin123,800.0,jr@correo.com,
495.0,Maria Gomez,-,35.0,dr@correo.com,
109.0,Laura Torres,test123,30.0, cg@correo.com ,
310.0,Juan Rodriguez,test987,45.0,ls@correo.com,11
46.0,Sofia Lopez,user123,70.0,dr@correo.com,
,Luis Sanchez,test123,40.0,lt@correo.com,
122.0,Carla Fernandez,gap123,25.0, cf@correo.com ,
383.0,Maria Gomez,user987,80.0, mg@correo.com ,
243.0,Carlos Gonzalez,,35.0,am@correo.com,
53.0,Carlos Gonzalez,person123,,am@correo.com,
,Pedro Perez,person123,30.0,pp@correo.com,
252.0,Maria Gomez,person123,25.0,lt@correo.com,11
280.0,Maria Gomez,person987,80.0,cg@correo.com,-10
229.0,Pedro Perez,-,50.0,sl@correo.com,
241.0,Diego Ramirez,person123,70.0, dr@correo.com ,
62.0,Maria Gomez,user987,-10.0,sl@correo.com,
207.0,Diego Ramirez,test123,60.0,jr@correo.com,
33.0,Diego Ramirez,person123,800.0,mg@correo.com,
368.0,Carlos Gonzalez,test987,45.0,ls@correo.com,
186.0,Carlos Gonzalez,user123,30.0, ls@correo.com ,
,Diego Ramirez,test123,18.0,pp@correo.com,
464.0,Maria Gomez,user123,25.0,sl@correo.com,
139.0,Juan Rodriguez,test123,60.0,sl@correo.com,
228.0,Luis Sanchez,user123,45.0, jr@correo.com ,
331.0,Juan Rodriguez,person987,40.0,mg@correo.com,
270.0,Sofia Lopez,person987,30.0, dr@correo.com ,
,Diego Ramirez,test123,30.0,mg@correo.com,
425.0,Carlos Gonzalez,user987,75.0,dr@correo.com,
1.0,Juan Rodriguez,user123,60.0,sl@correo.com,
486.0,Maria Gomez,gap123,80.0, cf@correo.com ,
239.0,Ana Martinez,test987,50.0,ls@correo.com,-10
117.0,Laura Torres,gap987,25.0, cg@correo.com ,
296.0,Laura Torres,gap123,55.0, dr@correo.com ,
324.0,Maria Gomez,user123,45.0,mg@correo.com,11
445.0,Juan Rodriguez,admin123,-10.0,jr@correo.com,
271.0,Ana Martinez,admin123,65.0,jr@correo.com,-10
,Pedro Perez,admin123,70.0,ls@correo.com,
471.0,Carla Fernandez,admin987,,cg@correo.com,
304.0,Juan Rodriguez,user123,40.0,dr@correo.com,
84.0,Ana Martinez,user123,70.0, cg@correo.com ,
474.0,Diego Ramirez,-,35.0,jr@correo.com,
2.0,Juan Rodriguez,as,18.0,sl@correo.com,
85.0,Laura Torres,user123,800.0,am@correo.com,
71.0,Pedro Perez,as,45.0,pp@correo.com,
435.0,Juan Rodriguez,test123,-10.0,dr@correo.com,
357.0,Maria Gomez,user123,55.0, mg@correo.com ,
381.0,Maria Gomez,gap987,,pp@correo.com,
450.0,Luis Sanchez,person987,25.0, ls@correo.com ,
118.0,Maria Gomez,user987,45.0, cf@correo.com ,
143.0,Pedro Perez,person123,800.0,cg@correo.com,
,Carlos Gonzalez,test123,18.0,cg@correo.com,
133.0,Carlos Gonzalez,gap123,75.0,sl@correo.com,
453.0,Sofia Lopez,gap987,18.0,lt@correo.com,
346.0,Carlos Gonzalez,-,25.0,ls@correo.com,
125.0,Pedro Perez,admin987,,dr@correo.com,
,Sofia Lopez,test123,75.0,cf@correo.com,
291.0,Carlos Gonzalez,test987,35.0,am@correo.com,-10
276.0,Carlos Gonzalez,admin987,35.0,mg@correo.com,-10
19.0,Laura Torres,,75.0,jr@correo.com,
202.0,Juan Rodriguez,test123,65.0, pp@correo.com ,
252.0,Luis Sanchez,gap123,30.0, pp@correo.com ,
28.0,Diego Ramirez,person123,45.0,dr@correo.com,-10
191.0,Ana Martinez,admin987,30.0, sl@correo.com ,
,Maria Gomez,person987,50.0,cg@correo.com,
151.0,Pedro Perez,gap987,80.0, lt@correo.com ,
244.0,Pedro Perez,gap123,70.0,cf@correo.com,-10
84.0,Carlos Gonzalez,,70.0,sl@correo.com,
156.0,Pedro Perez,-,40.0,ls@correo.com,
,Juan Rodriguez,person987,18.0,cg@correo.com,
262.0,Pedro Perez,gap987,50.0,mg@correo.com,
140.0,Sofia Lopez,admin987,40.0,jr@correo.com,-10
52.0,Sofia Lopez,gap123,,mg@correo.com,
,Juan Rodriguez,person123,60.0,pp@correo.com,
439.0,Diego Ramirez,as,75.0,sl@correo.com,
,Diego Ramirez,test123,70.0,pp@correo.com,
,Carla Fernandez,person987,80.0,jr@correo.com,
16.0,Carlos Gonzalez,gap987,75.0,ls@correo.com,-10
230.0,Maria Gomez,person123,75.0,ls@correo.com,11
345.0,Diego Ramirez,test987,25.0, jr@correo.com ,
,Juan Rodriguez,admin987,60.0,cg@correo.com,
100.0,Maria Gomez,gap123,-10.0,ls@correo.com,
296.0,Maria Gomez,gap987,55.0, jr@correo.com ,
314.0,Diego Ramirez,person987,55.0, mg@correo.com ,
480.0,Maria Gomez,test123,45.0,am@correo.com,11
,Pedro Perez,test123,40.0,cg@correo.com,
282.0,Luis Sanchez,admin123,30.0,cf@correo.com,
399.0,Ana Martinez,user123,-10.0,cf@correo.com,
216.0,Diego Ramirez,gap123,,jr@correo.com,
447.0,Laura Torres,-,25.0,dr@correo.com,
499.0,Ana Martinez,test123,30.0, lt@correo.com ,
283.0,Laura Torres,as,35.0,cg@correo.com,
344.0,Luis Sanchez,person123,45.0, cf@correo.com ,
145.0,Luis Sanchez,test987,18.0,cf@correo.com,
9.0,Pedro Perez,test123,800.0,lt@correo.com,
324.0,Laura Torres,gap987,70.0,dr@correo.com,11
,Luis Sanchez,test123,40.0,cg@correo.com,
240.0,Sofia Lopez,test987,50.0,dr@correo.com,
423.0,Laura Torres,person987,25.0,ls@correo.com,
310.0,Maria Gomez,person123,,am@correo.com,
,Pedro Perez,admin987,30.0,lt@correo.com,
245.0,Carlos Gonzalez,,30.0,ls@correo.com,
148.0,Luis Sanchez,as,70.0,cg@correo.com,
400.0,Ana Martinez,user987,800.0,ls@correo.com,
242.0,Ana Martinez,as,30.0,ls@correo.com,
295.0,Sofia Lopez,as,75.0,cf@correo.com,
221.0,Laura Torres,gap123,800.0,cf@correo.com,
469.0,Laura Torres,admin123,800.0,dr@correo.com,
80.0,Luis Sanchez,user123,25.0,sl@correo.com,11
,Ana Martinez,person987,75.0,am@correo.com,
209.0,Carla Fernandez,admin987,35.0,mg@correo.com,
290.0,Carla Fernandez,admin987,18.0,ls@correo.com,
,Sofia Lopez,admin987,65.0,cg@correo.com,
483.0,Ana Martinez,,35.0,cg@correo.com,
487.0,Carla Fernandez,person123,80.0,ls@correo.com,11
,Maria Gomez,admin987,55.0,pp@correo.com,
244.0,Carla Fernandez,user123,30.0, am@correo.com ,
221.0,Laura Torres,admin987,55.0,jr@correo.com,11
231.0,Sofia Lopez,admin123,40.0,dr@correo.com,11
478.0,Ana Martinez,gap123,60.0,mg@correo.com,-10
12.0,Diego Ramirez,person123,800.0,jr@correo.com,
366.0,Pedro Perez,test123,800.0,jr@correo.com,
461.0,Sofia Lopez,gap123,45.0, lt@correo.com ,
398.0,Ana Martinez,gap987,45.0,ls@correo.com,-10
33.0,Maria Gomez,user123,45.0,dr@correo.com,-10
235.0,Sofia Lopez,test123,60.0,mg@correo.com,
472.0,Sofia Lopez,person123,60.0, pp@correo.com ,
490.0,Ana Martinez,gap987,60.0,am@correo.com,
273.0,Luis Sanchez,-,30.0,mg@correo.com,
414.0,Sofia Lopez,gap987,800.0,cg@correo.com,
13.0,Diego Ramirez,gap123,40.0, dr@correo.com ,
,Luis Sanchez,person123,50.0,mg@correo.com,
57.0,Luis Sanchez,,50.0,jr@correo.com,
293.0,Maria Gomez,admin987,40.0,pp@correo.com,11
,Laura Torres,test123,35.0,pp@correo.com,
301.0,Pedro Perez,test123,18.0, mg@correo.com ,
64.0,Carlos Gonzalez,gap987,50.0, pp@correo.com ,
256.0,Pedro Perez,test123,55.0, jr@correo.com ,
,Luis Sanchez,person123,80.0,ls@correo.com,
,Ana Martinez,person987,70.0,dr@correo.com,
448.0,Carla Fernandez,test123,45.0, mg@correo.com ,
458.0,Pedro Perez,admin987,65.0, pp@correo.com ,
137.0,Luis Sanchez,person123,35.0,cg@correo.com,
239.0,Sofia Lopez,admin123,65.0,am@correo.com,
429.0,Juan Rodriguez,as,60.0,am@correo.com,
496.0,Maria Gomez,user123,70.0,ls@correo.com,
,Ana Martinez,user987,75.0,sl@correo.com,
383.0,Carla Fernandez,as,65.0,jr@correo.com,
385.0,Maria Gomez,gap123,45.0, jr@correo.com ,
,Ana Martinez,person123,25.0,jr@correo.com,
138.0,Luis Sanchez,gap123,60.0,pp@correo.com,
,Carlos Gonzalez,gap987,25.0,cg@correo.com,
381.0,Carlos Gonzalez,person123,800.0,am@correo.com,
145.0,Ana Martinez,user987,55.0, ls@correo.com ,
379.0,Luis Sanchez,person987,40.0, lt@correo.com ,
,Ana Martinez,test987,70.0,dr@correo.com,
259.0,Carlos Gonzalez,person123,65.0, sl@correo.com ,
,Carlos Gonzalez,admin123,65.0,am@correo.com,
,Maria Gomez,user123,80.0,dr@correo.com,
446.0,Juan Rodriguez,gap987,,pp@correo.com,
190.0,Pedro Perez,test123,80.0,jr@correo.com,
1.0,Ana Martinez,user123,45.0, cf@correo.com ,
486.0,Diego Ramirez,gap123,25.0,pp@correo.com,
128.0,Sofia Lopez,user987,25.0,am@correo.com,
220.0,Pedro Perez,admin123,800.0,ls@correo.com,
465.0,Diego Ramirez,as,65.0,pp@correo.com,
195.0,Luis Sanchez,admin987,30.0, ls@correo.com ,
388.0,Carlos Gonzalez,admin123,-10.0,cg@correo.com,
463.0,Laura Torres,person123,55.0,sl@correo.com,
75.0,Ana Martinez,gap123,-10.0,ls@correo.com,
33.0,Carlos Gonzalez,test123,25.0, cg@correo.com ,
493.0,Sofia Lopez,admin123,75.0,cg@correo.com,
51.0,Pedro Perez,person123,800.0,sl@correo.com,
480.0,Carla Fernandez,gap987,60.0, cf@correo.com ,
301.0,Pedro Perez,test123,50.0,cf@correo.com,
,Carla Fernandez,admin123,60.0,dr@correo.com,
240.0,Ana Martinez,user987,-10.0,dr@correo.com,
176.0,Laura Torres,gap123,,ls@correo.com,
151.0,Juan Rodriguez,user987,,pp@correo.com,
,Pedro Perez,gap123,35.0,pp@correo.com,
448.0,Carla Fernandez,user123,80.0,cg@correo.com,
322.0,Sofia Lopez,user123,65.0,cf@correo.com,
239.0,Luis Sanchez,user123,30.0,cf@correo.com,11
367.0,Carlos Gonzalez,person123,30.0,am@correo.com,-10
294.0,Ana Martinez,gap123,65.0,jr@correo.com,
,Sofia Lopez,admin987,80.0,lt@correo.com,
,Carla Fernandez,test987,40.0,lt@correo.com,
342.0,Maria Gomez,user123,25.0,pp@correo.com,
149.0,Carla Fernandez,test123,30.0, cf@correo.com ,
450.0,Maria Gomez,user123,75.0, sl@correo.com ,
341.0,Maria Gomez,user123,65.0,mg@correo.com,
190.0,Carla Fernandez,person123,-10.0,cg@correo.com,
253.0,Carla Fernandez,admin123,50.0,dr@correo.com,
244.0,Luis Sanchez,gap987,35.0,jr@correo.com,-10
160.0,Pedro Perez,user123,,jr@correo.com,
221.0,Ana Martinez,admin987,50.0,sl@correo.com,-10
,Carlos Gonzalez,test123,25.0,lt@correo.com,
,Maria Gomez,user987,65.0,cf@correo.com,
453.0,Maria Gomez,gap123,80.0, lt@correo.com ,
347.0,Pedro Perez,user987,40.0,sl@correo.com,
382.0,Diego Ramirez,person987,,pp@correo.com,
,Diego Ramirez,test987,40.0,dr@correo.com,
226.0,Ana Martinez,,70.0,ls@correo.com,
14.0,Laura Torres,admin987,35.0, cf@correo.com ,
219.0,Sofia Lopez,gap987,80.0,lt@correo.com,-10
,Pedro Perez,gap123,65.0,pp@correo.com,
261.0,Ana Martinez,test123,35.0,cg@correo.com,-10
,Laura Torres,admin123,40.0,sl@correo.com,
462.0,Carlos Gonzalez,user123,800.0,ls@correo.com,
131.0,Sofia Lopez,gap123,55.0,cf@correo.com,-10
266.0,Luis Sanchez,person123,30.0,dr@correo.com,-10
262.0,Laura Torres,person123,65.0,dr@correo.com,
189.0,Carla Fernandez,admin123,40.0,cg@correo.com,
264.0,Diego Ramirez,gap123,,lt@correo.com,
210.0,Luis Sanchez,admin987,75.0, jr@correo.com ,
463.0,Maria Gomez,admin987,50.0, ls@correo.com ,
407.0,Carla Fernandez,,45.0,cf@correo.com,
248.0,Luis Sanchez,test123,,cg@correo.com,
192.0,Luis Sanchez,user123,80.0, cf@correo.com ,
480.0,Sofia Lopez,admin123,75.0,mg@correo.com,
51.0,Maria Gomez,user123,80.0,sl@correo.com,-10
,Carlos Gonzalez,admin123,55.0,lt@correo.com,
,Ana Martinez,user123,60.0,cg@correo.com,
482.0,Carla Fernandez,person123,800.0,lt@correo.com,
318.0,Diego Ramirez,,30.0,dr@correo.com,
390.0,Carla Fernandez,person123,-10.0,sl@correo.com,
210.0,Maria Gomez,person987,70.0,am@correo.com,
425.0,Juan Rodriguez,as,70.0,jr@correo.com,
,Luis Sanchez,gap987,18.0,mg@correo.com,
404.0,Diego Ramirez,person987,800.0,am@correo.com,
80.0,Juan Rodriguez,admin123,50.0,am@correo.com,
,Maria Gomez,test123,65.0,cf@correo.com,
366.0,Luis Sanchez,test987,45.0,cf@correo.com,
82.0,Maria Gomez,as,18.0,cg@correo.com,
,Pedro Perez,user123,65.0,am@correo.com,
238.0,Carlos Gonzalez,gap123,50.0,jr@correo.com,11
,Juan Rodriguez,user123,80.0,cf@correo.com,
361.0,Maria Gomez,admin123,35.0, mg@correo.com ,
119.0,Carla Fernandez,person123,30.0,cg@correo.com,
,Juan Rodriguez,person987,18.0,ls@correo.com,
288.0,Diego Ramirez,person123,45.0, mg@correo.com ,
,Ana Martinez,test123,40.0,jr@correo.com,
27.0,Laura Torres,admin987,30.0,sl@correo.com,-10
170.0,Ana Martinez,admin123,-10.0,ls@correo.com,
413.0,Juan Rodriguez,person123,,am@correo.com,
291.0,Maria Gomez,admin123,60.0, ls@correo.com ,
330.0,Carla Fernandez,gap987,800.0,lt@correo.com,
285.0,Laura Torres,test987,25.0,cg@correo.com,
,Juan Rodriguez,test987,35.0,cg@correo.com,
222.0,Sofia Lopez,user987,65.0, dr@correo.com ,
130.0,Sofia Lopez,admin123,800.0,mg@correo.com,
488.0,Carla Fernandez,person123,40.0, jr@correo.com ,
125.0,Pedro Perez,gap987,30.0, jr@correo.com ,
,Maria Gomez,user123,75.0,pp@correo.com,
382.0,Carla Fernandez,gap123,,lt@correo.com,
,Luis Sanchez,test123,55.0,jr@correo.com,
400.0,Diego Ramirez,gap987,80.0,dr@correo.com,11
192.0,Ana Martinez,gap987,30.0,sl@correo.com,
289.0,Maria Gomez,gap123,-10.0,mg@correo.com,
435.0,Juan Rodriguez,admin123,50.0,lt@correo.com,
223.0,Juan Rodriguez,test123,18.0,cf@correo.com,-10
339.0,Carlos Gonzalez,gap123,45.0, jr@correo.com ,
208.0,Sofia Lopez,as,30.0,pp@correo.com,
487.0,Carla Fernandez,,55.0,ls@correo.com,
,Pedro Perez,person123,55.0,mg@correo.com,
30.0,Carla Fernandez,admin123,800.0,ls@correo.com,
96.0,Maria Gomez,as,18.0,mg@correo.com,
278.0,Carla Fernandez,as,35.0,lt@correo.com,
124.0,Carlos Gonzalez,user123,80.0, dr@correo.com ,
421.0,Sofia Lopez,test987,-10.0,jr@correo.com,
94.0,Laura Torres,admin123,70.0,sl@correo.com,
,Pedro Perez,test123,35.0,mg@correo.com,
,Diego Ramirez,admin123,50.0,lt@correo.com,
465.0,Luis Sanchez,admin987,80.0,am@correo.com,
156.0,Laura Torres,user123,,jr@correo.com,
90.0,Sofia Lopez,user123,25.0,dr@correo.com,
259.0,Ana Martinez,admin987,-10.0,cf@correo.com,
229.0,Carla Fernandez,person123,25.0,cg@correo.com,
345.0,Pedro Perez,test987,35.0,cg@correo.com,
,Carlos Gonzalez,test123,35.0,sl@correo.com,
380.0,Carla Fernandez,person987,45.0,pp@correo.com,
110.0,Carla Fernandez,person987,60.0, ls@correo.com ,
,Pedro Perez,test123,60.0,am@correo.com,
421.0,Pedro Perez,gap987,800.0,cf@correo.com,
93.0,Juan Rodriguez,person123,800.0,pp@correo.com,
62.0,Sofia Lopez,user987,800.0,mg@correo.com,
,Diego Ramirez,gap123,80.0,jr@correo.com,
142.0,Ana Martinez,test123,25.0, dr@correo.com ,
